# 𝙵𝙾𝚁𝙼𝙰𝚃 𝚘𝚛𝚐.𝚊𝚝𝚎𝚕𝚒𝚎𝚛𝙸𝚗𝚖𝚞.𝚟𝚌𝚑𝚎𝚠𝚒𝚗𝚐.𝚞𝚜𝚎𝚛𝙻𝚊𝚗𝚐𝚞𝚊𝚐𝚎𝙼𝚘𝚍𝚎𝚕𝙳𝚊𝚝𝚊.𝚏𝚘𝚛𝚖𝚊𝚝𝚝𝚎𝚍
一風堂 ㄧˋ-ㄈㄥ-ㄊㄤˊ
為昇科 ㄨㄟˊ-ㄕㄥ-ㄎㄜ
珈琲 ㄐㄧㄚ-ㄅㄟˋ
珍煮丹 ㄓㄣ-ㄓㄨˇ-ㄉㄢ
皇翔 ㄏㄨㄤˊ-ㄒㄧㄤˊ
研華 ㄧㄢˊ-ㄏㄨㄚˊ
科磊 ㄎㄜ-ㄌㄟˇ
穿戴式 ㄔㄨㄢ-ㄉㄞˋ-ㄕˋ
美光 ㄇㄟˇ-ㄍㄨㄤ
美吾髮 ㄇㄟˇ-ㄨˊ-ㄈㄚˇ
美律 ㄇㄟˇ-ㄌㄩˋ
美津濃 ㄇㄟˇ-ㄐㄧㄣ-ㄋㄨㄥˊ
美墨 ㄇㄟˇ-ㄇㄛˋ
美麗基 ㄇㄟˇ-ㄌㄧˋ-ㄐㄧ
美蘭 ㄇㄟˇ-ㄌㄢˊ
胡佛 ㄏㄨˊ-ㄈㄛˊ #𝙾𝚟𝚎𝚛𝚛𝚒𝚍𝚎
苦力怕 ㄎㄨˇ-ㄌㄧˋ-ㄆㄚˋ
英飛凌 ㄧㄥ-ㄈㄟ-ㄌㄧㄥˊ
范曉萱 ㄈㄢˋ-ㄒㄧㄠˇ-ㄒㄩㄢ
虹吸 ㄏㄨㄥˊ-ㄒㄧ #𝙾𝚟𝚎𝚛𝚛𝚒𝚍𝚎
計中 ㄐㄧˋ-ㄓㄨㄥ
計網 ㄐㄧˋ-ㄨㄤˇ
迪卡儂 ㄉㄧˊ-ㄎㄚˇ-ㄋㄨㄥˊ
重症 ㄓㄨㄥˋ-ㄓㄥˋ
降噪 ㄐㄧㄤˋ-ㄗㄠˋ
韋禮安 ㄨㄟˊ-ㄌㄧˇ-ㄢ
風傳媒 ㄈㄥ-ㄔㄨㄢˊ-ㄇㄟˊ
飛人 ㄈㄟ-ㄖㄣˊ
食力 ㄕˊ-ㄌㄧˋ #𝙾𝚟𝚎𝚛𝚛𝚒𝚍𝚎
香氛 ㄒㄧㄤ-ㄈㄣ
倍頻 ㄅㄟˋ-ㄆㄧㄣˊ
倍壓 ㄅㄟˋ-ㄧㄚ
原萃 ㄩㄢˊ-ㄘㄨㄟˋ
原價屋 ㄩㄢˊ-ㄐㄧㄚˋ-ㄨ
原燒 ㄩㄢˊ-ㄕㄠ
夏慕尼 ㄒㄧㄚˋ-ㄇㄨˋ-ㄋㄧˊ
家禾 ㄐㄧㄚ-ㄏㄜˊ
差值 ㄔㄚ-ㄓˊ
恩智浦 ㄣ-ㄓˋ-ㄆㄨˇ
拿鐵 ㄋㄚˊ-ㄊㄧㄝˇ
時時香 ㄕˊ-ㄕˊ-ㄒㄧㄤ
時薪 ㄕˊ-ㄒㄧㄣ #𝙾𝚟𝚎𝚛𝚛𝚒𝚍𝚎
格力高 ㄍㄜˊ-ㄌㄧˋ-ㄍㄠ
桃捷 ㄊㄠˊ-ㄐㄧㄝˊ
桌上賓 ㄓㄨㄛ-ㄕㄤˋ-ㄅㄧㄣ
桌遊 ㄓㄨㄛ-ㄧㄡˊ
氣泡飲 ㄑㄧˋ-ㄆㄠˋ-ㄧㄣˇ
泰興 ㄊㄞˋ-ㄒㄧㄥ
浩宇 ㄏㄠˋ-ㄩˇ
浪味仙 ㄌㄤˋ-ㄨㄟˋ-ㄒㄧㄢ
海岩 ㄏㄞˇ-ㄧㄢˊ
海洋珍珠堡 ㄏㄞˇ-ㄧㄤˊ-ㄓㄣ-ㄓㄨ-ㄅㄠˇ
海倫仙度絲 ㄏㄞˇ-ㄌㄨㄣˊ-ㄒㄧㄢ-ㄉㄨˋ-ㄙ
消脂針 ㄒㄧㄠ-ㄓ-ㄓㄣ
涓豆腐 ㄐㄩㄢ-ㄉㄡˋ-ㄈㄨˇ
烏弄 ㄨ-ㄋㄨㄥˋ
烤肉丸 ㄎㄠˇ-ㄖㄡˋ-ㄨㄢˊ
特休 ㄊㄜˋ-ㄒㄧㄡ
珪藻土 ㄍㄨㄟ-ㄗㄠˇ-ㄊㄨˇ
真劍 ㄓㄣ-ㄐㄧㄢˋ
神基 ㄕㄣˊ-ㄐㄧ
紙房子 ㄓˇ-ㄈㄤˊ-ㄗ˙
索尼 ㄙㄨㄛˇ-ㄋㄧˊ
耗電流 ㄏㄠˋ-ㄉㄧㄢˋ-ㄌㄧㄡˊ
能量飲 ㄋㄥˊ-ㄌㄧㄤˋ-ㄧㄣˇ
能隙 ㄋㄥˊ-ㄒㄧˋ
脆腸 ㄘㄨㄟˋ-ㄔㄤˊ
脆管 ㄘㄨㄟˋ-ㄍㄨㄢˇ
茶之魔手 ㄔㄚˊ-ㄓ-ㄇㄛˊ-ㄕㄡˇ
茶本味 ㄔㄚˊ-ㄅㄣˇ-ㄨㄟˋ
草本皂 ㄘㄠˇ-ㄅㄣˇ-ㄗㄠˋ
衰減器 ㄕㄨㄞ-ㄐㄧㄢˇ-ㄑㄧˋ
貢茶 ㄍㄨㄥˋ-ㄔㄚˊ
軒記 ㄒㄩㄢ-ㄐㄧˋ
迷客夏 ㄇㄧˊ-ㄎㄜˋ-ㄒㄧㄚˋ
郝家 ㄏㄜˋ-ㄐㄧㄚ
配方法 ㄆㄟˋ-ㄈㄤ-ㄈㄚˇ
陞達 ㄕㄥ-ㄉㄚˊ
隼眼 ㄓㄨㄣˇ-ㄧㄢˇ
馬玉山 ㄇㄚˇ-ㄩˋ-ㄕㄢ
馬油 ㄇㄚˇ-ㄧㄡˊ
馬牌 ㄇㄚˇ-ㄆㄞˊ
馬辣 ㄇㄚˇ-ㄌㄚˋ
馬賽皂 ㄇㄚˇ-ㄙㄞˋ-ㄗㄠˋ
高山青 ㄍㄠ-ㄕㄢ-ㄑㄧㄥ
高虹安 ㄍㄠ-ㄏㄨㄥˊ-ㄢ
高通 ㄍㄠ-ㄊㄨㄥ
高富帥 ㄍㄠ-ㄈㄨˋ-ㄕㄨㄞˋ
高雄空廚 ㄍㄠ-ㄒㄩㄥˊ-ㄎㄨㄥ-ㄔㄨˊ
高端 ㄍㄠ-ㄉㄨㄢ
高德 ㄍㄠ-ㄉㄜˊ
高露潔 ㄍㄠ-ㄌㄨˋ-ㄐㄧㄝˊ
鬼金棒 ㄍㄨㄟˇ-ㄐㄧㄣ-ㄅㄤˋ
鬼塚虎 ㄍㄨㄟˇ-ㄓㄨㄥˇ-ㄏㄨˇ
偉哲 ㄨㄟˇ-ㄓㄜˊ
偏積分 ㄆㄧㄢ-ㄐㄧ-ㄈㄣ
健身環 ㄐㄧㄢˋ-ㄕㄣ-ㄏㄨㄢˊ
偶極 ㄡˇ-ㄐㄧˊ
偽娘 ㄨㄟˋ-ㄋㄧㄤˊ
偽逆 ㄨㄟˋ-ㄋㄧˋ
動滋 ㄉㄨㄥˋ-ㄗ
動態島 ㄉㄨㄥˋ-ㄊㄞˋ-ㄉㄠˇ
圈存 ㄑㄩㄢ-ㄘㄨㄣˊ
國巨 ㄍㄨㄛˊ-ㄐㄩˋ
國統 ㄍㄨㄛˊ-ㄊㄨㄥˇ
國瑜 ㄍㄨㄛˊ-ㄩˊ
基恩斯 ㄐㄧ-ㄣ-ㄙ
基頻 ㄐㄧ-ㄆㄧㄣˊ
巢狀 ㄔㄠˊ-ㄓㄨㄤˋ
帶通 ㄉㄞˋ-ㄊㄨㄥ
康青龍 ㄎㄤ-ㄑㄧㄥ-ㄌㄨㄥˊ
康是美 ㄎㄤ-ㄕˋ-ㄇㄟˇ
康軒 ㄎㄤ-ㄒㄩㄢ
康橋 ㄎㄤ-ㄑㄧㄠˊ
康寶 ㄎㄤ-ㄅㄠˇ
張博 ㄓㄤ-ㄅㄛˊ
張震 ㄓㄤ-ㄓㄣˋ
張震嶽 ㄓㄤ-ㄓㄣˋ-ㄩㄝˋ #𝙾𝚟𝚎𝚛𝚛𝚒𝚍𝚎
彩晶 ㄘㄞˇ-ㄐㄧㄥ
捷絲旅 ㄐㄧㄝˊ-ㄙ-ㄌㄩˇ
掃頻 ㄙㄠˇ-ㄆㄧㄣˊ
啟碁 ㄑㄧˇ-ㄐㄧ
曼秀雷敦 ㄇㄢˋ-ㄒㄧㄡˋ-ㄌㄟˊ-ㄉㄨㄣ
深櫃 ㄕㄣ-ㄍㄨㄟˋ
混波器 ㄏㄨㄣˇ-ㄆㄛ-ㄑㄧˋ
添好運 ㄊㄧㄢ-ㄏㄠˇ-ㄩㄣˋ
清玉 ㄑㄧㄥ-ㄩˋ
清消 ㄑㄧㄥ-ㄒㄧㄠ
異位性 ㄧˋ-ㄨㄟˋ-ㄒㄧㄥˋ
盛香真 ㄕㄥˋ-ㄒㄧㄤ-ㄓㄣ
祥碩 ㄒㄧㄤˊ-ㄕㄨㄛˋ
移軸 ㄧˊ-ㄓㄡˊ
第一劑 ㄉㄧˋ-ㄧ-ㄐㄧˋ
第二劑 ㄉㄧˋ-ㄦˋ-ㄐㄧˋ
第三劑 ㄉㄧˋ-ㄙㄢ-ㄐㄧˋ
莫士座 ㄇㄛˋ-ㄕˋ-ㄗㄨㄛˋ
莫德納 ㄇㄛˋ-ㄉㄜˊ-ㄋㄚˋ
豚人 ㄊㄨㄣˊ-ㄖㄣˊ
貫孔 ㄍㄨㄢˋ-ㄎㄨㄥˇ
軟板 ㄖㄨㄢˇ-ㄅㄢˇ
這一鍋 ㄓㄜˋ-ㄧ-ㄍㄨㄛ
速必效 ㄙㄨˋ-ㄅㄧˋ-ㄒㄧㄠˋ
連得堂 ㄌㄧㄢˊ-ㄉㄜˊ-ㄊㄤˊ
郭家 ㄍㄨㄛ-ㄐㄧㄚ
陰屍路 ㄧㄣ-ㄕ-ㄌㄨˋ
陳時中 ㄔㄣˊ-ㄕˊ-ㄓㄨㄥ
陳博 ㄔㄣˊ-ㄅㄛˊ
陳喬恩 ㄔㄣˊ-ㄑㄧㄠˊ-ㄣ
雪嶽山 ㄒㄩㄝˇ-ㄩㄝˋ-ㄕㄢ
章魚哥 ㄓㄤ-ㄩˊ-ㄍㄜ
頂呱呱 ㄉㄧㄥˇ-ㄍㄨㄚ-ㄍㄨㄚ #𝙾𝚟𝚎𝚛𝚛𝚒𝚍𝚎
魚羹 ㄩˊ-ㄍㄥ
麥香 ㄇㄞˋ-ㄒㄧㄤ
麻古 ㄇㄚˊ-ㄍㄨˇ
麻吉 ㄇㄚˊ-ㄐㄧˊ
凱美 ㄎㄞˇ-ㄇㄟˇ
凱擘 ㄎㄞˇ-ㄅㄛˋ
創見 ㄔㄨㄤˋ-ㄐㄧㄢˋ #𝙾𝚟𝚎𝚛𝚛𝚒𝚍𝚎
創惟 ㄔㄨㄤˋ-ㄨㄟˊ
勝一 ㄕㄥˋ-ㄧ
博通 ㄅㄛˊ-ㄊㄨㄥ
喜來登 ㄒㄧˇ-ㄌㄞˊ-ㄉㄥ
喜滿客 ㄒㄧˇ-ㄇㄢˇ-ㄎㄜˋ
喬山 ㄑㄧㄠˊ-ㄕㄢ
單件 ㄉㄢ-ㄐㄧㄢˋ
單芯線 ㄉㄢ-ㄒㄧㄣ-ㄒㄧㄢˋ
單品 ㄉㄢ-ㄆㄧㄣˇ
單極 ㄉㄢ-ㄐㄧˊ
場型 ㄔㄤˇ-ㄒㄧㄥˊ
壹電視 ㄧ-ㄉㄧㄢˋ-ㄕˋ #𝙾𝚟𝚎𝚛𝚛𝚒𝚍𝚎
彭博 ㄆㄥˊ-ㄅㄛˊ
掌機 ㄓㄤˇ-ㄐㄧ
揪團 ㄐㄧㄡ-ㄊㄨㄢˊ
斑鳩的窩 ㄅㄢ-ㄐㄧㄡ-ㄉㄜ˙-ㄨㄛ
普攻 ㄆㄨˇ-ㄍㄨㄥ
普濟殿 ㄆㄨˇ-ㄐㄧˋ-ㄉㄧㄢˋ
景碩 ㄐㄧㄥˇ-ㄕㄨㄛˋ
晶英 ㄐㄧㄥ-ㄧㄥ
晶球 ㄐㄧㄥ-ㄑㄧㄡˊ
智邦 ㄓˋ-ㄅㄤ
智易 ㄓˋ-ㄧˋ
智原 ㄓˋ-ㄩㄢˊ
曾家 ㄗㄥ-ㄐㄧㄚ
森歐黎漾 ㄙㄣ-ㄡ-ㄌㄧˊ-ㄧㄤˋ
植萃 ㄓˊ-ㄘㄨㄟˋ
氮化鎵 ㄉㄢˋ-ㄏㄨㄚˋ-ㄐㄧㄚ
湖池屋 ㄏㄨˊ-ㄔˊ-ㄨ
湯德章 ㄊㄤ-ㄉㄜˊ-ㄓㄤ
犀牛盾 ㄒㄧ-ㄋㄧㄡˊ-ㄉㄨㄣˋ
琣伯莉 ㄆㄟˇ-ㄅㄛˊ-ㄌㄧˋ
發肉覓 ㄈㄚ-ㄖㄡˋ-ㄇㄧˋ
稍大 ㄕㄠ-ㄉㄚˋ
稍小 ㄕㄠ-ㄒㄧㄠˇ
紫爆 ㄗˇ-ㄅㄠˋ
統編 ㄊㄨㄥˇ-ㄅㄧㄢ
統聯 ㄊㄨㄥˇ-ㄌㄧㄢˊ
翔順 ㄒㄧㄤˊ-ㄕㄨㄣˋ
舒立效 ㄕㄨ-ㄌㄧˋ-ㄒㄧㄠˋ
舒肥 ㄕㄨ-ㄈㄟˊ
舒酸定 ㄕㄨ-ㄙㄨㄢ-ㄉㄧㄥˋ
菓子 ㄍㄨㄛˇ-ㄗ˙
華元 ㄏㄨㄚˊ-ㄩㄢˊ
華通 ㄏㄨㄚˊ-ㄊㄨㄥ
華藝 ㄏㄨㄚˊ-ㄧˋ
菸味 ㄧㄢ-ㄨㄟˋ
萌娘 ㄇㄥˊ-ㄋㄧㄤˊ
評測 ㄆㄧㄥˊ-ㄘㄜˋ
象印 ㄒㄧㄤˋ-ㄧㄣˋ
貴司 ㄍㄨㄟˋ-ㄙ
貴貨 ㄍㄨㄟˋ-ㄏㄨㄛˋ
貼圖 ㄊㄧㄝ-ㄊㄨˊ
貿易戰 ㄇㄠˋ-ㄧˋ-ㄓㄢˋ
超微 ㄔㄠ-ㄨㄟˊ
超穎 ㄔㄠ-ㄧㄥˇ
軸比 ㄓㄡˊ-ㄅㄧˇ
進發家 ㄐㄧㄣˋ-ㄈㄚ-ㄐㄧㄚ
鈉鈣 ㄋㄚˋ-ㄍㄞˋ
鈊象 ㄒㄧㄣ-ㄒㄧㄤˋ
開槽 ㄎㄞ-ㄘㄠˊ
隋唐 ㄙㄨㄟˊ-ㄊㄤˊ
隋棠 ㄙㄨㄟˊ-ㄊㄤˊ
雅各 ㄧㄚˇ-ㄍㄜˋ
集運 ㄐㄧˊ-ㄩㄣˋ #𝙾𝚟𝚎𝚛𝚛𝚒𝚍𝚎
順豐 ㄕㄨㄣˋ-ㄈㄥ
黃珊珊 ㄏㄨㄤˊ-ㄕㄢ-ㄕㄢ
黑丸 ㄏㄟ-ㄨㄢˊ
黑化 ㄏㄟ-ㄏㄨㄚˋ
黑泷堂 ㄏㄟ-ㄌㄨㄥˊ-ㄊㄤˊ
傲嬌 ㄠˋ-ㄐㄧㄠ
傳產 ㄔㄨㄢˊ-ㄔㄢˇ
傻白甜 ㄕㄚˇ-ㄅㄞˊ-ㄊㄧㄢˊ
勤益 ㄑㄧㄣˊ-ㄧˋ
匯豐 ㄏㄨㄟˋ-ㄈㄥ
圓角器 ㄩㄢˊ-ㄐㄧㄠˇ-ㄑㄧˋ
圓剛 ㄩㄢˊ-ㄍㄤ
幹話 ㄍㄢˋ-ㄏㄨㄚˋ
微冰 ㄨㄟˊ-ㄅㄧㄥ
微帶線 ㄨㄟˊ-ㄉㄞˋ-ㄒㄧㄢˋ
微單眼 ㄨㄟˊ-ㄉㄢ-ㄧㄢˇ
微距 ㄨㄟˊ-ㄐㄩˋ
微熱 ㄨㄟˊ-ㄖㄜˋ
微糖 ㄨㄟˊ-ㄊㄤˊ
愛立信 ㄞˋ-ㄌㄧˋ-ㄒㄧㄣˋ
愛奇藝 ㄞˋ-ㄑㄧˊ-ㄧˋ
愛樂壓 ㄞˋ-ㄌㄜˋ-ㄧㄚ
新光三越 ㄒㄧㄣ-ㄍㄨㄤ-ㄙㄢ-ㄩㄝˋ
新光金 ㄒㄧㄣ-ㄍㄨㄤ-ㄐㄧㄣ
新冠 ㄒㄧㄣ-ㄍㄨㄢˋ
新思 ㄒㄧㄣ-ㄙ
新唐 ㄒㄧㄣ-ㄊㄤˊ
新番 ㄒㄧㄣ-ㄈㄢ
新貴派 ㄒㄧㄣ-ㄍㄨㄟˋ-ㄆㄞˋ
新購 ㄒㄧㄣ-ㄍㄡˋ
楊記 ㄧㄤˊ-ㄐㄧˋ
源芳 ㄩㄢˊ-ㄈㄤ
源極 ㄩㄢˊ-ㄐㄧˊ
瑞昱 ㄖㄨㄟˋ-ㄩˋ
瑞薩 ㄖㄨㄟˋ-ㄙㄚˋ
萬波 ㄨㄢˋ-ㄅㄛ
萬歲牌 ㄨㄢˋ-ㄙㄨㄟˋ-ㄆㄞˊ
萬豪 ㄨㄢˋ-ㄏㄠˊ
群光 ㄑㄩㄣˊ-ㄍㄨㄤ
群創 ㄑㄩㄣˊ-ㄔㄨㄤˋ
群暉 ㄑㄩㄣˊ-ㄏㄨㄟ
群聯 ㄑㄩㄣˊ-ㄌㄧㄢˊ
義隆 ㄧˋ-ㄌㄨㄥˊ
義聯 ㄧˋ-ㄌㄧㄢˊ
義豐 ㄧˋ-ㄈㄥ
聖祖 ㄕㄥˋ-ㄗㄨˇ
腦霧 ㄋㄠˇ-ㄨˋ
腹黑 ㄈㄨˋ-ㄏㄟ
落建 ㄌㄨㄛˋ-ㄐㄧㄢˋ
葡吉 ㄆㄨˊ-ㄐㄧˊ
裕榮 ㄩˋ-ㄖㄨㄥˊ
誠屋 ㄔㄥˊ-ㄨ
路易莎 ㄌㄨˋ-ㄧˋ-ㄕㄚ
閘極 ㄓㄚˊ-ㄐㄧˊ
雷克沙 ㄌㄟˊ-ㄎㄜˋ-ㄕㄚ
電商 ㄉㄧㄢˋ-ㄕㄤ
電資 ㄉㄧㄢˋ-ㄗ
電競 ㄉㄧㄢˋ-ㄐㄧㄥˋ #𝙾𝚟𝚎𝚛𝚛𝚒𝚍𝚎
頑張 ㄨㄢˊ-ㄓㄤ
飽氣 ㄅㄠˇ-ㄑㄧˋ
圖層 ㄊㄨˊ-ㄘㄥˊ
壽司郎 ㄕㄡˋ-ㄙ-ㄌㄤˊ
實付 ㄕˊ-ㄈㄨˋ
實聯 ㄕˊ-ㄌㄧㄢˊ
摺積 ㄓㄜˊ-ㄐㄧ
漁光島 ㄩˊ-ㄍㄨㄤ-ㄉㄠˇ
漢來 ㄏㄢˋ-ㄌㄞˊ
漢來 ㄏㄢˋ-ㄌㄞˊ #𝙾𝚟𝚎𝚛𝚛𝚒𝚍𝚎
瑪奇朵 ㄇㄚˇ-ㄑㄧˊ-ㄉㄨㄛˇ
碳佐麻里 ㄊㄢˋ-ㄗㄨㄛˇ-ㄇㄚˊ-ㄌㄧˇ
磁通 ㄘˊ-ㄊㄨㄥ
福容 ㄈㄨˊ-ㄖㄨㄥˊ
福源 ㄈㄨˊ-ㄩㄢˊ
福義軒 ㄈㄨˊ-ㄧˋ-ㄒㄩㄢ
窩囊 ㄨㄛ-ㄋㄤ
箝位 ㄑㄧㄢˊ-ㄨㄟˋ
綠蛆 ㄌㄩˋ-ㄑㄩ
綠電 ㄌㄩˋ-ㄉㄧㄢˋ
綠聯 ㄌㄩˋ-ㄌㄧㄢˊ
維尼 ㄨㄟˊ-ㄋㄧˊ
網紅 ㄨㄤˇ-ㄏㄨㄥˊ
網飛 ㄨㄤˇ-ㄈㄟ
網購 ㄨㄤˇ-ㄍㄡˋ
聚類 ㄐㄩˋ-ㄌㄟˋ
臺大 ㄊㄞˊ-ㄉㄚˋ
臺中 ㄊㄞˊ-ㄓㄨㄥ #𝙾𝚟𝚎𝚛𝚛𝚒𝚍𝚎
臺北 ㄊㄞˊ-ㄅㄟˇ #𝙾𝚟𝚎𝚛𝚛𝚒𝚍𝚎
臺東 ㄊㄞˊ-ㄉㄨㄥ #𝙾𝚟𝚎𝚛𝚛𝚒𝚍𝚎
臺南 ㄊㄞˊ-ㄋㄢˊ #𝙾𝚟𝚎𝚛𝚛𝚒𝚍𝚎
臺科 ㄊㄞˊ-ㄎㄜ
臺科 ㄊㄞˊ-ㄎㄜ #𝙾𝚟𝚎𝚛𝚛𝚒𝚍𝚎
臺幣 ㄊㄞˊ-ㄅㄧˋ #𝙾𝚟𝚎𝚛𝚛𝚒𝚍𝚎
臺語 ㄊㄞˊ-ㄩˇ #𝙾𝚟𝚎𝚛𝚛𝚒𝚍𝚎
臺獨 ㄊㄞˊ-ㄉㄨˊ
舞光 ㄨˇ-ㄍㄨㄤ
蓋亞 ㄍㄞˋ-ㄧㄚˇ
裸辭 ㄌㄨㄛˇ-ㄘˊ
誤刪 ㄨˋ-ㄕㄢ
誤警 ㄨˋ-ㄐㄧㄥˇ
趙又廷 ㄓㄠˋ-ㄧㄡˋ-ㄊㄧㄥˊ
輕症 ㄑㄧㄥ-ㄓㄥˋ
遠場 ㄩㄢˇ-ㄔㄤˇ
酷兒 ㄎㄨˋ-ㄦˊ
鳳黃酥 ㄈㄥˋ-ㄏㄨㄤˊ-ㄙㄨ
億光 ㄧˋ-ㄍㄨㄤ
劉里長 ㄌㄧㄡˊ-ㄌㄧˇ-ㄓㄤˇ
嬌生 ㄐㄧㄠ-ㄕㄥ
嬌麻餅 ㄐㄧㄠ-ㄇㄚˊ-ㄅㄧㄥˇ
廣角 ㄍㄨㄤˇ-ㄐㄧㄠˇ
廣達 ㄍㄨㄤˇ-ㄉㄚˊ
廣錠 ㄍㄨㄤˇ-ㄉㄧㄥˋ
德元埤 ㄉㄜˊ-ㄩㄢˊ-ㄆㄧˊ
德立莊 ㄉㄜˊ-ㄌㄧˋ-ㄓㄨㄤ
德恩奈 ㄉㄜˊ-ㄣ-ㄋㄞˋ
摩卡 ㄇㄛˊ-ㄎㄚˇ
摩卡壺 ㄇㄛˊ-ㄎㄚˇ-ㄏㄨˊ
樂雅樂 ㄌㄜˋ-ㄧㄚˇ-ㄌㄜˋ
樂麵屋 ㄌㄜˋ-ㄇㄧㄢˋ-ㄨ
潘婷 ㄆㄢ-ㄊㄧㄥˊ
潛艇堡 ㄑㄧㄢˊ-ㄊㄧㄥˇ-ㄅㄠˇ
澎澎 ㄆㄥˊ-ㄆㄥˊ
熟成 ㄕㄡˊ-ㄔㄥˊ
稽納 ㄐㄧ-ㄋㄚˋ
緯創 ㄨㄟˇ-ㄔㄨㄤˋ
蔡博 ㄘㄞˋ-ㄅㄛˊ
蔣萬安 ㄐㄧㄤˇ-ㄨㄢˋ-ㄢ
調用 ㄊㄧㄠˊ-ㄩㄥˋ
輝創 ㄏㄨㄟ-ㄔㄨㄤˋ
鋁殼 ㄌㄩˇ-ㄎㄜˊ
壁咚 ㄅㄧˋ-ㄉㄨㄥ
樺達 ㄏㄨㄚˊ-ㄉㄚˊ
橘平屋 ㄐㄩˊ-ㄆㄧㄥˊ-ㄨ
澡享 ㄗㄠˇ-ㄒㄧㄤˇ
濃萃 ㄋㄨㄥˊ-ㄘㄨㄟˋ
燒肉珍珠堡 ㄕㄠ-ㄖㄡˋ-ㄓㄣ-ㄓㄨ-ㄅㄠˇ
獨顯 ㄉㄨˊ-ㄒㄧㄢˇ
糖村 ㄊㄤˊ-ㄘㄨㄣ
興家安速 ㄒㄧㄥ-ㄐㄧㄚ-ㄢ-ㄙㄨˋ
興勤 ㄒㄧㄥ-ㄑㄧㄣˊ
貓奴 ㄇㄠ-ㄋㄨˊ
貓砂 ㄇㄠ-ㄕㄚ
賴清德 ㄌㄞˋ-ㄑㄧㄥ-ㄉㄜˊ
霍華德 ㄏㄨㄛˋ-ㄏㄨㄚˊ-ㄉㄜˊ
餡料 ㄒㄧㄢˋ-ㄌㄧㄠˋ
鴨莊 ㄧㄚ-ㄓㄨㄤ
戴森 ㄉㄞˋ-ㄙㄣ
營多麵 ㄧㄥˊ-ㄉㄨㄛ-ㄇㄧㄢˋ
隱家 ㄧㄣˇ-ㄐㄧㄚ
鮮蝦 ㄒㄧㄢ-ㄒㄧㄚ
點心麵 ㄉㄧㄢˇ-ㄒㄧㄣ-ㄇㄧㄢˋ
舊振南 ㄐㄧㄡˋ-ㄓㄣˋ-ㄋㄢˊ
雞來速 ㄐㄧ-ㄌㄞˊ-ㄙㄨˋ
藜麥 ㄌㄧˊ-ㄇㄞˋ
蟻人 ㄧˇ-ㄖㄣˊ
鏈鋸人 ㄌㄧㄢˋ-ㄐㄩˋ-ㄖㄣˊ
麗仕 ㄌㄧˋ-ㄕˋ
麗春 ㄌㄧˋ-ㄔㄨㄣ
麗寶 ㄌㄧˋ-ㄅㄠˇ
嚴晧 ㄧㄢˊ-ㄏㄠˋ
寶可夢 ㄅㄠˇ-ㄎㄜˇ-ㄇㄥˋ
寶雅 ㄅㄠˇ-ㄧㄚˇ
耀登 ㄧㄠˋ-ㄉㄥ
饋入 ㄎㄨㄟˋ-ㄖㄨˋ
麵屋一燈 ㄇㄧㄢˋ-ㄨ-ㄧˋ-ㄉㄥ
麵羹 ㄇㄧㄢˋ-ㄍㄥ
護國 ㄏㄨˋ-ㄍㄨㄛˊ
饗食 ㄒㄧㄤˇ-ㄕˊ
魔改 ㄇㄛˊ-ㄍㄞˇ
疊構 ㄉㄧㄝˊ-ㄍㄡˋ
驍龍 ㄒㄧㄠ-ㄌㄨㄥˊ
罐罐 ㄍㄨㄢˋ-ㄍㄨㄢˋ
鑫禾 ㄒㄧㄣ-ㄏㄜˊ
